38 ;38650,0;2267104,484 ;1574208,635 ;137,221 ;0,7 ;
39 ;38651,0;2267104,473 ;1574208,574 ;137,214 ;1,2 ;
40 ;38652,0;2267104,485 ;1574208,531 ;137,203 ;0,7 ;
41 ;38653,0;2267104,470 ;1574208,534 ;137,197 ;1,2 ;
42 ;38654,0;2267104,230 ;1574208,578 ;137,204 ;1,3 ;
43 ;38655,0;2267103,854 ;1574208,668 ;137,216 ;1,1 ;
44 ;38656,0;2267103,481 ;1574208,696 ;137,220 ;0,7 ;
45 ;38657,0;2267103,116 ;1574208,697 ;137,217 ;1,0 ;
46 ;38658,0;2267102,789 ;1574208,659 ;137,221 ;1,1 ;
47 ;38659,0;2267102,471 ;1574208,617 ;137,235 ;0,8 ;
48 ;38660,0;2267102,154 ;1574208,565 ;137,216 ;0,9 ;
49 ;38661,0;2267101,884 ;1574208,521 ;137,229 ;1,0 ;
50 ;38662,0;2267101,592 ;1574208,471 ;137,224 ;0,9 ;
51 ;38663,0;2267101,261 ;1574208,400 ;137,225 ;0,8 ;
52 ;38664,0;2267100,918 ;1574208,290 ;137,212 ;0,7 ;
53 ;38664,0;2267100,859 ;1574208,269 ;137,219 ;0,7 ;
54 ;38666,0;2267100,209 ;1574207,975 ;137,223 ;0,6 ;
55 ;38667,0;2267099,821 ;1574207,785 ;137,227 ;0,7 ;
56 ;38668,0;2267099,385 ;1574207,584 ;137,229 ;0,9 ;
57 ;38669,0;2267098,812 ;1574207,387 ;137,213 ;1,0 ;
58 ;38670,0;2267098,341 ;1574207,259 ;137,218 ;0,9 ;
59 ;38671,0;2267097,890 ;1574207,123 ;137,214 ;0,9 ;
60 ;38672,0;2267097,491 ;1574207,008 ;137,234 ;0,9 ;
61 ;38673,0;2267096,979 ;1574206,873 ;137,229 ;0,7 ;
62 ;38674,0;2267096,479 ;1574206,775 ;137,211 ;0,4 ;
63 ;38675,0;2267095,934 ;1574206,613 ;137,224 ;0,3 ;
64 ;38676,0;2267095,539 ;1574206,502 ;137,211 ;0,9 ;
65 ;38678,0;2267094,446 ;1574206,341 ;137,206 ;0,9 ;
66 ;38679,0;2267093,934 ;1574206,346 ;137,221 ;0,8 ;
