Point,North,East,Elev,Description,Hz Prec,Vt Prec,Solution,PDOP,Sats,Start Date,Start Time,End Date,End Time,Duration
23,2267104.947,1574209.231,137.212,Topo Continu,0.016,0.020,NetworkFix,1.6,12,13/04/2017,10:43:54.0,13/04/2017,10:43:54.0,0.0
24,2267104.934,1574209.228,137.216,Topo Continu,0.011,0.015,NetworkFix,1.6,12,13/04/2017,10:43:55.0,13/04/2017,10:43:55.0,0.0
25,2267104.924,1574209.237,137.195,Topo Continu,0.012,0.017,NetworkFix,1.6,12,13/04/2017,10:43:56.0,13/04/2017,10:43:56.0,0.0
26,2267104.914,1574209.235,137.194,Topo Continu,0.016,0.022,NetworkFix,1.6,12,13/04/2017,10:43:57.0,13/04/2017,10:43:57.0,0.0
27,2267104.897,1574209.227,137.193,Topo Continu,0.012,0.018,NetworkFix,1.6,12,13/04/2017,10:43:58.0,13/04/2017,10:43:58.0,0.0
28,2267104.890,1574209.231,137.196,Topo Continu,0.015,0.021,NetworkFix,1.6,12,13/04/2017,10:43:59.0,13/04/2017,10:43:59.0,0.0
29,2267104.881,1574209.236,137.201,Topo Continu,0.012,0.018,NetworkFix,1.6,12,13/04/2017,10:44:00.0,13/04/2017,10:44:00.0,0.0
30,2267104.875,1574209.247,137.195,Topo Continu,0.013,0.019,NetworkFix,1.6,12,13/04/2017,10:44:01.0,13/04/2017,10:44:01.0,0.0
31,2267104.870,1574209.251,137.204,Topo Continu,0.015,0.022,NetworkFix,1.6,12,13/04/2017,10:44:02.0,13/04/2017,10:44:02.0,0.0
32,2267104.857,1574209.261,137.207,Topo Continu,0.012,0.018,NetworkFix,1.6,12,13/04/2017,10:44:03.0,13/04/2017,10:44:03.0,0.0
33,2267104.843,1574209.270,137.194,Topo Continu,0.013,0.019,NetworkFix,1.6,12,13/04/2017,10:44:04.0,13/04/2017,10:44:04.0,0.0
34,2267104.765,1574209.218,137.199,Topo Continu,0.014,0.019,NetworkFix,1.6,11,13/04/2017,10:44:06.0,13/04/2017,10:44:06.0,0.0
35,2267104.685,1574209.117,137.242,Topo Continu,0.025,0.033,NetworkFix,1.6,11,13/04/2017,10:44:07.0,13/04/2017,10:44:07.0,0.0
36,2267104.577,1574208.970,137.205,Topo Continu,0.032,0.043,NetworkFix,1.6,11,13/04/2017,10:44:08.0,13/04/2017,10:44:08.0,0.0
37,2267104.516,1574208.768,137.206,Topo Continu,0.016,0.023,NetworkFix,1.6,11,13/04/2017,10:44:09.0,13/04/2017,10:44:09.0,0.0
38,2267104.484,1574208.635,137.221,Topo Continu,0.013,0.018,NetworkFix,1.6,11,13/04/2017,10:44:10.0,13/04/2017,10:44:10.0,0.0
39,2267104.473,1574208.574,137.214,Topo Continu,0.011,0.013,NetworkFix,1.6,10,13/04/2017,10:44:11.0,13/04/2017,10:44:11.0,0.0
40,2267104.485,1574208.531,137.203,Topo Continu,0.011,0.014,NetworkFix,1.6,11,13/04/2017,10:44:12.0,13/04/2017,10:44:12.0,0.0
41,2267104.470,1574208.534,137.197,Topo Continu,0.012,0.017,NetworkFix,1.6,11,13/04/2017,10:44:13.0,13/04/2017,10:44:13.0,0.0
42,2267104.230,1574208.578,137.204,Topo Continu,0.019,0.025,NetworkFix,1.6,11,13/04/2017,10:44:14.0,13/04/2017,10:44:14.0,0.0
43,2267103.854,1574208.668,137.216,Topo Continu,0.013,0.017,NetworkFix,1.6,12,13/04/2017,10:44:15.0,13/04/2017,10:44:15.0,0.0
44,2267103.481,1574208.696,137.220,Topo Continu,0.021,0.032,NetworkFix,1.6,12,13/04/2017,10:44:16.0,13/04/2017,10:44:16.0,0.0
45,2267103.116,1574208.697,137.217,Topo Continu,0.026,0.042,NetworkFix,1.6,12,13/04/2017,10:44:17.0,13/04/2017,10:44:17.0,0.0
46,2267102.789,1574208.659,137.221,Topo Continu,0.019,0.031,NetworkFix,1.6,12,13/04/2017,10:44:18.0,13/04/2017,10:44:18.0,0.0
47,2267102.471,1574208.617,137.235,Topo Continu,0.016,0.026,NetworkFix,1.6,12,13/04/2017,10:44:19.0,13/04/2017,10:44:19.0,0.0
48,2267102.154,1574208.565,137.216,Topo Continu,0.024,0.038,NetworkFix,1.6,12,13/04/2017,10:44:20.0,13/04/2017,10:44:20.0,0.0
49,2267101.884,1574208.521,137.229,Topo Continu,0.016,0.027,NetworkFix,1.6,12,13/04/2017,10:44:21.0,13/04/2017,10:44:21.0,0.0
50,2267101.592,1574208.471,137.224,Topo Continu,0.015,0.025,NetworkFix,1.6,12,13/04/2017,10:44:22.0,13/04/2017,10:44:22.0,0.0
51,2267101.261,1574208.400,137.225,Topo Continu,0.019,0.031,NetworkFix,1.5,12,13/04/2017,10:44:23.0,13/04/2017,10:44:23.0,0.0
52,2267100.918,1574208.290,137.212,Topo Continu,0.017,0.028,NetworkFix,1.5,12,13/04/2017,10:44:24.0,13/04/2017,10:44:24.0,0.0
53,2267100.859,1574208.269,137.219,Topo Continu,0.019,0.030,NetworkFix,1.5,12,13/04/2017,10:44:24.0,13/04/2017,10:44:24.0,0.0
54,2267100.209,1574207.975,137.223,Topo Continu,0.016,0.026,NetworkFix,1.5,12,13/04/2017,10:44:26.0,13/04/2017,10:44:26.0,0.0
55,2267099.821,1574207.785,137.227,Topo Continu,0.017,0.028,NetworkFix,1.5,12,13/04/2017,10:44:27.0,13/04/2017,10:44:27.0,0.0
56,2267099.385,1574207.584,137.229,Topo Continu,0.015,0.026,NetworkFix,1.5,12,13/04/2017,10:44:28.0,13/04/2017,10:44:28.0,0.0
57,2267098.812,1574207.387,137.213,Topo Continu,0.019,0.030,NetworkFix,1.5,12,13/04/2017,10:44:29.0,13/04/2017,10:44:29.0,0.0
58,2267098.341,1574207.259,137.218,Topo Continu,0.027,0.045,NetworkFix,1.5,12,13/04/2017,10:44:30.0,13/04/2017,10:44:30.0,0.0
59,2267097.890,1574207.123,137.214,Topo Continu,0.024,0.042,NetworkFix,1.5,11,13/04/2017,10:44:31.0,13/04/2017,10:44:31.0,0.0
60,2267097.491,1574207.008,137.234,Topo Continu,0.018,0.033,NetworkFix,1.5,11,13/04/2017,10:44:32.0,13/04/2017,10:44:32.0,0.0
61,2267096.979,1574206.873,137.229,Topo Continu,0.022,0.038,NetworkFix,1.5,11,13/04/2017,10:44:33.0,13/04/2017,10:44:33.0,0.0
62,2267096.479,1574206.775,137.211,Topo Continu,0.017,0.030,NetworkFix,1.5,11,13/04/2017,10:44:34.0,13/04/2017,10:44:34.0,0.0
63,2267095.934,1574206.613,137.224,Topo Continu,0.019,0.035,NetworkFix,1.5,12,13/04/2017,10:44:35.0,13/04/2017,10:44:35.0,0.0
64,2267095.539,1574206.502,137.211,Topo Continu,0.022,0.039,NetworkFix,1.5,12,13/04/2017,10:44:36.0,13/04/2017,10:44:36.0,0.0
65,2267094.446,1574206.341,137.206,Topo Continu,0.014,0.026,NetworkFix,1.5,12,13/04/2017,10:44:38.0,13/04/2017,10:44:38.0,0.0
66,2267093.934,1574206.346,137.221,Topo Continu,0.017,0.031,NetworkFix,1.5,12,13/04/2017,10:44:39.0,13/04/2017,10:44:39.0,0.0
67,2267093.427,1574206.343,137.223,Topo Continu,0.012,0.022,NetworkFix,1.5,12,13/04/2017,10:44:40.0,13/04/2017,10:44:40.0,0.0
68,2267092.916,1574206.327,137.200,Topo Continu,0.011,0.020,NetworkFix,1.5,12,13/04/2017,10:44:41.0,13/04/2017,10:44:41.0,0.0
69,2267092.391,1574206.306,137.216,Topo Continu,0.014,0.025,NetworkFix,1.5,12,13/04/2017,10:44:42.0,13/04/2017,10:44:42.0,0.0
70,2267091.848,1574206.277,137.226,Topo Continu,0.011,0.020,NetworkFix,1.5,12,13/04/2017,10:44:43.0,13/04/2017,10:44:43.0,0.0
71,2267091.341,1574206.249,137.206,Topo Continu,0.010,0.018,NetworkFix,1.5,12,13/04/2017,10:44:44.0,13/04/2017,10:44:44.0,0.0
72,2267090.860,1574206.181,137.217,Topo Continu,0.013,0.024,NetworkFix,1.5,12,13/04/2017,10:44:45.0,13/04/2017,10:44:45.0,0.0
73,2267090.350,1574206.102,137.200,Topo Continu,0.014,0.026,NetworkFix,1.5,12,13/04/2017,10:44:46.0,13/04/2017,10:44:46.0,0.0
74,2267089.854,1574206.024,137.237,Topo Continu,0.009,0.016,NetworkFix,1.5,12,13/04/2017,10:44:47.0,13/04/2017,10:44:47.0,0.0
75,2267089.358,1574205.936,137.236,Topo Continu,0.013,0.023,NetworkFix,1.5,12,13/04/2017,10:44:48.0,13/04/2017,10:44:48.0,0.0
76,2267088.846,1574205.829,137.220,Topo Continu,0.014,0.026,NetworkFix,1.5,12,13/04/2017,10:44:49.0,13/04/2017,10:44:49.0,0.0
77,2267088.315,1574205.745,137.222,Topo Continu,0.017,0.031,NetworkFix,1.5,12,13/04/2017,10:44:50.0,13/04/2017,10:44:50.0,0.0
78,2267087.820,1574205.671,137.235,Topo Continu,0.019,0.035,NetworkFix,1.5,12,13/04/2017,10:44:51.0,13/04/2017,10:44:51.0,0.0
79,2267087.349,1574205.574,137.240,Topo Continu,0.009,0.017,NetworkFix,1.5,12,13/04/2017,10:44:52.0,13/04/2017,10:44:52.0,0.0
80,2267086.728,1574205.459,137.222,Topo Continu,0.013,0.024,NetworkFix,1.5,12,13/04/2017,10:44:53.0,13/04/2017,10:44:53.0,0.0
81,2267086.278,1574205.406,137.215,Topo Continu,0.015,0.028,NetworkFix,1.5,12,13/04/2017,10:44:54.0,13/04/2017,10:44:54.0,0.0
82,2267085.717,1574205.369,137.216,Topo Continu,0.011,0.019,NetworkFix,1.5,12,13/04/2017,10:44:55.0,13/04/2017,10:44:55.0,0.0
83,2267085.203,1574205.329,137.224,Topo Continu,0.011,0.019,NetworkFix,1.4,12,13/04/2017,10:44:56.0,13/04/2017,10:44:56.0,0.0
84,2267084.603,1574205.240,137.219,Topo Continu,0.013,0.023,NetworkFix,1.3,12,13/04/2017,10:44:57.0,13/04/2017,10:44:57.0,0.0
85,2267084.072,1574205.151,137.204,Topo Continu,0.012,0.021,NetworkFix,1.3,10,13/04/2017,10:44:58.0,13/04/2017,10:44:58.0,0.0
86,2267083.522,1574205.049,137.220,Topo Continu,0.014,0.026,NetworkFix,1.3,12,13/04/2017,10:44:59.0,13/04/2017,10:44:59.0,0.0
87,2267082.947,1574204.949,137.225,Topo Continu,0.017,0.031,NetworkFix,1.3,12,13/04/2017,10:45:00.0,13/04/2017,10:45:00.0,0.0
88,2267082.346,1574204.859,137.225,Topo Continu,0.009,0.018,NetworkFix,1.3,12,13/04/2017,10:45:01.0,13/04/2017,10:45:01.0,0.0
89,2267081.852,1574204.811,137.236,Topo Continu,0.014,0.027,NetworkFix,1.3,12,13/04/2017,10:45:02.0,13/04/2017,10:45:02.0,0.0
90,2267081.284,1574204.760,137.240,Topo Continu,0.018,0.034,NetworkFix,1.3,12,13/04/2017,10:45:03.0,13/04/2017,10:45:03.0,0.0
91,2267080.764,1574204.652,137.216,Topo Continu,0.009,0.017,NetworkFix,1.3,12,13/04/2017,10:45:04.0,13/04/2017,10:45:04.0,0.0
92,2267080.145,1574204.465,137.246,Topo Continu,0.012,0.023,NetworkFix,1.3,13,13/04/2017,10:45:05.0,13/04/2017,10:45:05.0,0.0
93,2267079.816,1574204.361,137.235,Topo Continu,0.014,0.027,NetworkFix,1.3,13,13/04/2017,10:45:06.0,13/04/2017,10:45:06.0,0.0
94,2267079.271,1574204.190,137.226,Topo Continu,0.014,0.026,NetworkFix,1.3,13,13/04/2017,10:45:07.0,13/04/2017,10:45:07.0,0.0
95,2267078.593,1574204.063,137.223,Topo Continu,0.012,0.022,NetworkFix,1.5,13,13/04/2017,10:45:08.0,13/04/2017,10:45:08.0,0.0
96,2267077.519,1574203.920,137.231,Topo Continu,0.012,0.022,NetworkFix,1.5,13,13/04/2017,10:45:10.0,13/04/2017,10:45:10.0,0.0
97,2267076.946,1574203.904,137.247,Topo Continu,0.014,0.026,NetworkFix,1.5,13,13/04/2017,10:45:11.0,13/04/2017,10:45:11.0,0.0
98,2267076.363,1574203.932,137.239,Topo Continu,0.017,0.030,NetworkFix,1.5,13,13/04/2017,10:45:12.0,13/04/2017,10:45:12.0,0.0
99,2267075.812,1574203.985,137.228,Topo Continu,0.013,0.023,NetworkFix,1.5,14,13/04/2017,10:45:13.0,13/04/2017,10:45:13.0,0.0
100,2267075.313,1574203.999,137.235,Topo Continu,0.011,0.021,NetworkFix,1.5,14,13/04/2017,10:45:14.0,13/04/2017,10:45:14.0,0.0
101,2267074.836,1574203.950,137.231,Topo Continu,0.013,0.024,NetworkFix,1.5,14,13/04/2017,10:45:15.0,13/04/2017,10:45:15.0,0.0
102,2267074.373,1574203.836,137.244,Topo Continu,0.012,0.021,NetworkFix,1.5,14,13/04/2017,10:45:16.0,13/04/2017,10:45:16.0,0.0
103,2267074.115,1574203.772,137.212,Topo Continu,0.007,0.012,NetworkFix,1.5,14,13/04/2017,10:45:17.0,13/04/2017,10:45:17.0,0.0
104,2267073.847,1574203.709,137.219,Topo Continu,0.007,0.014,NetworkFix,1.5,14,13/04/2017,10:45:18.0,13/04/2017,10:45:18.0,0.0
105,2267073.581,1574203.648,137.239,Topo Continu,0.007,0.012,NetworkFix,1.5,14,13/04/2017,10:45:19.0,13/04/2017,10:45:19.0,0.0
106,2267073.419,1574203.609,137.220,Topo Continu,0.007,0.012,NetworkFix,1.6,14,13/04/2017,10:45:20.0,13/04/2017,10:45:20.0,0.0
107,2267073.237,1574203.574,137.236,Topo Continu,0.007,0.013,NetworkFix,1.6,14,13/04/2017,10:45:21.0,13/04/2017,10:45:21.0,0.0
108,2267073.079,1574203.540,137.240,Topo Continu,0.006,0.011,NetworkFix,1.6,14,13/04/2017,10:45:22.0,13/04/2017,10:45:22.0,0.0
109,2267072.898,1574203.508,137.237,Topo Continu,0.006,0.010,NetworkFix,1.6,14,13/04/2017,10:45:23.0,13/04/2017,10:45:23.0,0.0
110,2267072.813,1574203.491,137.234,Topo Continu,0.006,0.010,NetworkFix,1.6,14,13/04/2017,10:45:24.0,13/04/2017,10:45:24.0,0.0
111,2267072.650,1574203.468,137.229,Topo Continu,0.006,0.010,NetworkFix,1.6,14,13/04/2017,10:45:25.0,13/04/2017,10:45:25.0,0.0
112,2267072.552,1574203.448,137.222,Topo Continu,0.009,0.016,NetworkFix,1.6,14,13/04/2017,10:45:26.0,13/04/2017,10:45:26.0,0.0
113,2267072.222,1574203.402,137.220,Topo Continu,0.010,0.019,NetworkFix,1.6,14,13/04/2017,10:45:28.0,13/04/2017,10:45:28.0,0.0
114,2267071.971,1574203.376,137.204,Topo Continu,0.012,0.021,NetworkFix,1.6,14,13/04/2017,10:45:29.0,13/04/2017,10:45:29.0,0.0
115,2267071.715,1574203.333,137.218,Topo Continu,0.007,0.013,NetworkFix,1.6,14,13/04/2017,10:45:30.0,13/04/2017,10:45:30.0,0.0
116,2267071.449,1574203.265,137.216,Topo Continu,0.007,0.012,NetworkFix,1.6,14,13/04/2017,10:45:31.0,13/04/2017,10:45:31.0,0.0
117,2267071.182,1574203.175,137.219,Topo Continu,0.007,0.013,NetworkFix,1.6,14,13/04/2017,10:45:32.0,13/04/2017,10:45:32.0,0.0
118,2267070.939,1574203.089,137.228,Topo Continu,0.007,0.012,NetworkFix,1.6,14,13/04/2017,10:45:33.0,13/04/2017,10:45:33.0,0.0
119,2267070.713,1574202.994,137.236,Topo Continu,0.007,0.011,NetworkFix,1.6,14,13/04/2017,10:45:34.0,13/04/2017,10:45:34.0,0.0
120,2267070.431,1574202.886,137.219,Topo Continu,0.008,0.014,NetworkFix,1.6,14,13/04/2017,10:45:35.0,13/04/2017,10:45:35.0,0.0
121,2267070.098,1574202.777,137.231,Topo Continu,0.007,0.013,NetworkFix,1.6,14,13/04/2017,10:45:36.0,13/04/2017,10:45:36.0,0.0
122,2267069.645,1574202.677,137.232,Topo Continu,0.008,0.016,NetworkFix,1.6,14,13/04/2017,10:45:37.0,13/04/2017,10:45:37.0,0.0
123,2267069.163,1574202.634,137.235,Topo Continu,0.012,0.021,NetworkFix,1.6,14,13/04/2017,10:45:38.0,13/04/2017,10:45:38.0,0.0
124,2267068.764,1574202.608,137.237,Topo Continu,0.012,0.022,NetworkFix,1.6,14,13/04/2017,10:45:39.0,13/04/2017,10:45:39.0,0.0
125,2267068.407,1574202.574,137.216,Topo Continu,0.015,0.027,NetworkFix,1.6,14,13/04/2017,10:45:40.0,13/04/2017,10:45:40.0,0.0
126,2267068.088,1574202.536,137.221,Topo Continu,0.009,0.016,NetworkFix,1.6,14,13/04/2017,10:45:41.0,13/04/2017,10:45:41.0,0.0
127,2267067.759,1574202.486,137.226,Topo Continu,0.007,0.013,NetworkFix,1.6,14,13/04/2017,10:45:42.0,13/04/2017,10:45:42.0,0.0
128,2267067.432,1574202.450,137.222,Topo Continu,0.009,0.015,NetworkFix,1.6,14,13/04/2017,10:45:43.0,13/04/2017,10:45:43.0,0.0
129,2267067.120,1574202.404,137.219,Topo Continu,0.009,0.016,NetworkFix,1.6,14,13/04/2017,10:45:44.0,13/04/2017,10:45:44.0,0.0
130,2267066.770,1574202.334,137.224,Topo Continu,0.008,0.014,NetworkFix,1.6,14,13/04/2017,10:45:45.0,13/04/2017,10:45:45.0,0.0
131,2267066.398,1574202.280,137.235,Topo Continu,0.009,0.018,NetworkFix,1.6,14,13/04/2017,10:45:46.0,13/04/2017,10:45:46.0,0.0
132,2267066.030,1574202.248,137.236,Topo Continu,0.010,0.019,NetworkFix,1.6,14,13/04/2017,10:45:47.0,13/04/2017,10:45:47.0,0.0
133,2267065.735,1574202.222,137.220,Topo Continu,0.006,0.012,NetworkFix,1.6,14,13/04/2017,10:45:48.0,13/04/2017,10:45:48.0,0.0
134,2267065.423,1574202.182,137.228,Topo Continu,0.007,0.013,NetworkFix,1.6,14,13/04/2017,10:45:49.0,13/04/2017,10:45:49.0,0.0
135,2267065.067,1574202.106,137.227,Topo Continu,0.009,0.015,NetworkFix,1.6,14,13/04/2017,10:45:50.0,13/04/2017,10:45:50.0,0.0
136,2267064.712,1574202.022,137.229,Topo Continu,0.007,0.013,NetworkFix,1.6,13,13/04/2017,10:45:51.0,13/04/2017,10:45:51.0,0.0
137,2267064.419,1574201.926,137.222,Topo Continu,0.006,0.012,NetworkFix,1.6,13,13/04/2017,10:45:52.0,13/04/2017,10:45:52.0,0.0
138,2267063.943,1574201.772,137.229,Topo Continu,0.010,0.018,NetworkFix,1.6,13,13/04/2017,10:45:53.0,13/04/2017,10:45:53.0,0.0
139,2267063.527,1574201.646,137.235,Topo Continu,0.009,0.016,NetworkFix,1.6,13,13/04/2017,10:45:54.0,13/04/2017,10:45:54.0,0.0
140,2267063.125,1574201.511,137.227,Topo Continu,0.007,0.013,NetworkFix,1.6,13,13/04/2017,10:45:55.0,13/04/2017,10:45:55.0,0.0
141,2267062.732,1574201.381,137.222,Topo Continu,0.008,0.014,NetworkFix,1.6,13,13/04/2017,10:45:56.0,13/04/2017,10:45:56.0,0.0
142,2267062.368,1574201.251,137.237,Topo Continu,0.007,0.013,NetworkFix,1.6,13,13/04/2017,10:45:57.0,13/04/2017,10:45:57.0,0.0
143,2267062.035,1574201.109,137.248,Topo Continu,0.006,0.012,NetworkFix,1.6,13,13/04/2017,10:45:58.0,13/04/2017,10:45:58.0,0.0
144,2267061.732,1574200.950,137.245,Topo Continu,0.007,0.013,NetworkFix,1.6,13,13/04/2017,10:45:59.0,13/04/2017,10:45:59.0,0.0
145,2267061.437,1574200.768,137.225,Topo Continu,0.006,0.012,NetworkFix,1.6,13,13/04/2017,10:46:00.0,13/04/2017,10:46:00.0,0.0
146,2267061.205,1574200.615,137.234,Topo Continu,0.006,0.012,NetworkFix,1.6,13,13/04/2017,10:46:01.0,13/04/2017,10:46:01.0,0.0
147,2267060.898,1574200.418,137.235,Topo Continu,0.009,0.015,NetworkFix,1.6,13,13/04/2017,10:46:02.0,13/04/2017,10:46:02.0,0.0
148,2267060.548,1574200.242,137.228,Topo Continu,0.006,0.012,NetworkFix,1.6,13,13/04/2017,10:46:03.0,13/04/2017,10:46:03.0,0.0
149,2267059.735,1574199.970,137.232,Topo Continu,0.009,0.015,NetworkFix,1.6,13,13/04/2017,10:46:05.0,13/04/2017,10:46:05.0,0.0
150,2267059.372,1574199.898,137.257,Topo Continu,0.006,0.011,NetworkFix,1.6,13,13/04/2017,10:46:06.0,13/04/2017,10:46:06.0,0.0
151,2267059.021,1574199.821,137.244,Topo Continu,0.006,0.011,NetworkFix,1.6,13,13/04/2017,10:46:07.0,13/04/2017,10:46:07.0,0.0
152,2267058.681,1574199.752,137.252,Topo Continu,0.008,0.014,NetworkFix,1.6,13,13/04/2017,10:46:08.0,13/04/2017,10:46:08.0,0.0
153,2267058.366,1574199.681,137.259,Topo Continu,0.008,0.014,NetworkFix,1.6,10,13/04/2017,10:46:09.0,13/04/2017,10:46:09.0,0.0
154,2267058.060,1574199.594,137.250,Topo Continu,0.009,0.015,NetworkFix,1.6,13,13/04/2017,10:46:10.0,13/04/2017,10:46:10.0,0.0
155,2267057.737,1574199.499,137.243,Topo Continu,0.009,0.016,NetworkFix,1.6,13,13/04/2017,10:46:11.0,13/04/2017,10:46:11.0,0.0
156,2267057.360,1574199.388,137.245,Topo Continu,0.009,0.014,NetworkFix,1.6,13,13/04/2017,10:46:12.0,13/04/2017,10:46:12.0,0.0
157,2267056.934,1574199.273,137.246,Topo Continu,0.009,0.015,NetworkFix,1.6,13,13/04/2017,10:46:13.0,13/04/2017,10:46:13.0,0.0
158,2267056.490,1574199.174,137.249,Topo Continu,0.010,0.017,NetworkFix,1.6,13,13/04/2017,10:46:14.0,13/04/2017,10:46:14.0,0.0
159,2267056.021,1574199.104,137.229,Topo Continu,0.011,0.017,NetworkFix,1.6,13,13/04/2017,10:46:15.0,13/04/2017,10:46:15.0,0.0
160,2267055.591,1574199.044,137.238,Topo Continu,0.011,0.017,NetworkFix,1.6,13,13/04/2017,10:46:16.0,13/04/2017,10:46:16.0,0.0
161,2267055.165,1574198.976,137.236,Topo Continu,0.013,0.021,NetworkFix,1.6,13,13/04/2017,10:46:17.0,13/04/2017,10:46:17.0,0.0
162,2267054.762,1574198.906,137.244,Topo Continu,0.013,0.022,NetworkFix,1.6,12,13/04/2017,10:46:18.0,13/04/2017,10:46:18.0,0.0
163,2267054.386,1574198.798,137.228,Topo Continu,0.012,0.019,NetworkFix,1.6,12,13/04/2017,10:46:19.0,13/04/2017,10:46:19.0,0.0
164,2267054.032,1574198.662,137.222,Topo Continu,0.013,0.022,NetworkFix,1.6,12,13/04/2017,10:46:20.0,13/04/2017,10:46:20.0,0.0
165,2267053.674,1574198.498,137.221,Topo Continu,0.007,0.013,NetworkFix,1.6,11,13/04/2017,10:46:21.0,13/04/2017,10:46:21.0,0.0
166,2267053.315,1574198.324,137.245,Topo Continu,0.008,0.013,NetworkFix,1.6,11,13/04/2017,10:46:22.0,13/04/2017,10:46:22.0,0.0
167,2267052.952,1574198.145,137.250,Topo Continu,0.011,0.018,NetworkFix,1.6,11,13/04/2017,10:46:23.0,13/04/2017,10:46:23.0,0.0
168,2267052.580,1574197.956,137.223,Topo Continu,0.009,0.014,NetworkFix,1.6,11,13/04/2017,10:46:24.0,13/04/2017,10:46:24.0,0.0
169,2267052.214,1574197.760,137.226,Topo Continu,0.011,0.018,NetworkFix,1.6,11,13/04/2017,10:46:25.0,13/04/2017,10:46:25.0,0.0
170,2267051.833,1574197.556,137.230,Topo Continu,0.014,0.025,NetworkFix,1.6,11,13/04/2017,10:46:26.0,13/04/2017,10:46:26.0,0.0
171,2267051.336,1574197.319,137.215,Topo Continu,0.010,0.018,NetworkFix,1.6,11,13/04/2017,10:46:27.0,13/04/2017,10:46:27.0,0.0
172,2267051.023,1574197.189,137.233,Topo Continu,0.014,0.023,NetworkFix,1.6,11,13/04/2017,10:46:28.0,13/04/2017,10:46:28.0,0.0
173,2267050.707,1574197.055,137.229,Topo Continu,0.017,0.029,NetworkFix,1.6,11,13/04/2017,10:46:29.0,13/04/2017,10:46:29.0,0.0
