Point,North,East,Elev,Description,Hz Prec,Vt Prec,Solution,PDOP,Sats,Start Date,Start Time,End Date,End Time,Duration
1,2267104.765,1574208.920,137.238,Topo Continu,0.009,0.012,NetworkFix,1.4,12,13/04/2017,10:43:31.0,13/04/2017,10:43:31.0,0.0
2,2267104.788,1574208.942,137.241,Topo Continu,0.009,0.013,NetworkFix,1.4,12,13/04/2017,10:43:32.0,13/04/2017,10:43:32.0,0.0
3,2267104.892,1574209.006,137.232,Topo Continu,0.022,0.029,NetworkFix,1.5,12,13/04/2017,10:43:33.0,13/04/2017,10:43:33.0,0.0
4,2267104.941,1574209.043,137.196,Topo Continu,0.023,0.030,NetworkFix,1.5,12,13/04/2017,10:43:34.0,13/04/2017,10:43:34.0,0.0
5,2267104.997,1574209.090,137.188,Topo Continu,0.022,0.028,NetworkFix,1.5,11,13/04/2017,10:43:35.0,13/04/2017,10:43:35.0,0.0
6,2267105.011,1574209.103,137.195,Topo Continu,0.025,0.033,NetworkFix,1.5,11,13/04/2017,10:43:36.0,13/04/2017,10:43:36.0,0.0
7,2267105.030,1574209.109,137.227,Topo Continu,0.015,0.020,NetworkFix,1.5,11,13/04/2017,10:43:37.0,13/04/2017,10:43:37.0,0.0
8,2267105.070,1574209.131,137.244,Topo Continu,0.013,0.019,NetworkFix,1.5,11,13/04/2017,10:43:38.0,13/04/2017,10:43:38.0,0.0
9,2267105.070,1574209.181,137.230,Topo Continu,0.012,0.015,NetworkFix,1.5,11,13/04/2017,10:43:40.0,13/04/2017,10:43:40.0,0.0
10,2267105.068,1574209.200,137.217,Topo Continu,0.015,0.019,NetworkFix,1.5,11,13/04/2017,10:43:41.0,13/04/2017,10:43:41.0,0.0
11,2267105.059,1574209.201,137.222,Topo Continu,0.016,0.022,NetworkFix,1.5,11,13/04/2017,10:43:42.0,13/04/2017,10:43:42.0,0.0
12,2267105.049,1574209.218,137.207,Topo Continu,0.015,0.019,NetworkFix,1.5,11,13/04/2017,10:43:43.0,13/04/2017,10:43:43.0,0.0
13,2267105.033,1574209.220,137.201,Topo Continu,0.014,0.019,NetworkFix,1.5,11,13/04/2017,10:43:44.0,13/04/2017,10:43:44.0,0.0
14,2267105.024,1574209.220,137.207,Topo Continu,0.017,0.022,NetworkFix,1.5,11,13/04/2017,10:43:45.0,13/04/2017,10:43:45.0,0.0
15,2267105.016,1574209.215,137.222,Topo Continu,0.012,0.016,NetworkFix,1.5,11,13/04/2017,10:43:46.0,13/04/2017,10:43:46.0,0.0
16,2267105.005,1574209.212,137.223,Topo Continu,0.013,0.018,NetworkFix,1.5,11,13/04/2017,10:43:47.0,13/04/2017,10:43:47.0,0.0
17,2267104.999,1574209.216,137.229,Topo Continu,0.016,0.022,NetworkFix,1.6,11,13/04/2017,10:43:48.0,13/04/2017,10:43:48.0,0.0
18,2267104.976,1574209.207,137.214,Topo Continu,0.012,0.016,NetworkFix,1.6,11,13/04/2017,10:43:49.0,13/04/2017,10:43:49.0,0.0
19,2267104.966,1574209.203,137.216,Topo Continu,0.012,0.016,NetworkFix,1.6,11,13/04/2017,10:43:50.0,13/04/2017,10:43:50.0,0.0
20,2267104.956,1574209.203,137.217,Topo Continu,0.015,0.019,NetworkFix,1.6,11,13/04/2017,10:43:51.0,13/04/2017,10:43:51.0,0.0
21,2267104.957,1574209.219,137.214,Topo Continu,0.012,0.015,NetworkFix,1.6,11,13/04/2017,10:43:52.0,13/04/2017,10:43:52.0,0.0
22,2267104.950,1574209.227,137.212,Topo Continu,0.014,0.018,NetworkFix,1.6,12,13/04/2017,10:43:53.0,13/04/2017,10:43:53.0,0.0
